date,oil_surprise
1994-10-01,0.0
1994-11-01,1.6996799786910801
1994-12-01,0.0
1995-01-01,0.0
1995-02-01,0.0
1995-03-01,0.0
1995-04-01,0.0
1995-05-01,0.0
1995-06-01,0.3596725627084706
1995-07-01,0.0
1995-08-01,0.0
1995-09-01,0.0
1995-10-01,0.0
1995-11-01,-0.12630706068266426
1995-12-01,0.0
1996-01-01,0.0
1996-02-01,0.0
1996-03-01,0.0
1996-04-01,0.0
1996-05-01,0.0
1996-06-01,0.960585883721214
1996-07-01,0.0
1996-08-01,0.0
1996-09-01,0.0
1996-10-01,0.0
1996-11-01,4.016847352723481
1996-12-01,0.0
1997-01-01,0.0
1997-02-01,0.0
1997-03-01,0.0
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,-2.176202301270279
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.0
1997-12-01,-0.7622865664619757
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,-2.4473884732739304
1998-04-01,0.0
1998-05-01,0.0
1998-06-01,-0.3519516113894861
1998-07-01,0.0
1998-08-01,0.0
1998-09-01,0.0
1998-10-01,0.0
1998-11-01,-2.745740019385295
1998-12-01,0.0
1999-01-01,0.0
1999-02-01,0.0
1999-03-01,-1.757998329349702
1999-04-01,0.0
1999-05-01,0.0
1999-06-01,0.0
1999-07-01,0.0
1999-08-01,0.0
1999-09-01,-1.2424645122016362
1999-10-01,0.0
1999-11-01,0.0
1999-12-01,0.0
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.7096637450553301
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,-0.7298180597984547
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,3.9335058173986135
2000-10-01,0.0
2000-11-01,0.6374754802426985
2000-12-01,0.0
2001-01-01,-1.3064702788012736
2001-02-01,0.0
2001-03-01,-0.4729063316572753
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.9661455238065376
2001-07-01,2.0124643973453527
2001-08-01,0.0
2001-09-01,1.7600117361720262
2001-10-01,0.0
2001-11-01,-7.23237514024974
2001-12-01,-1.9071329748981327
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.03021542035676688
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,1.1217104016115769
